s,p,o
state_2_-8_29_0_9_1100,has_long,long_-75
state_3_-8_29_0_9_2800,transit_to,state_3_-8_33_0_9_1400
state_1_-5_17_0_9_0,transit_to,state_1_-6_23_0_9_0
state_1_-8_14_0_9_125,has_long,long_-82
state_3_-4_18_0_9_0,has_lat,lat_32
state_1_-6_32_0_9_0,transit_to,state_1_-6_31_0_9_0
state_2_-5_27_0_9_300,escalate_to,state_2_-5_28_0_9_1500
state_3_-7_20_0_9_600,has_lat,lat_27
state_2_-4_18_0_9_0,transit_to,state_2_-5_17_0_9_0
state_2_-8_5_0_9_325,has_lat,lat_16
state_2_-7_29_0_9_225,transit_to,state_3_-7_28_0_9_825
state_2_-9_22_0_9_900,has_lat,lat_19
state_1_-5_34_0_9_250,has_long,long_-55
state_2_-10_16_0_9_1000,has_long,long_-97
state_3_-8_10_0_9_0,has_lat,lat_34
state_2_-5_14_0_9_0,transit_to,state_2_-6_13_0_9_0
state_1_-5_14_0_9_150,has_long,long_-46
state_2_-5_27_0_9_500,has_long,long_-51
state_2_-7_24_0_9_2100,escalate_to,state_2_-6_20_0_9_1725
state_2_-4_30_0_9_150,has_lat,lat_17
state_4_-6_29_0_9_0,has_long,long_-65
state_3_-9_18_0_9_275,has_lat,lat_27
state_1_-4_32_0_9_550,has_long,long_-40
state_2_-10_7_0_9_675,escalate_to,state_2_-10_8_0_9_1800
state_3_-4_9_0_9_1000,has_lat,lat_33
state_2_-10_13_0_9_0,has_long,long_-97
state_3_-8_11_0_9_900,transit_to,state_3_-8_11_0_9_450
state_2_-5_23_0_9_0,transit_to,state_2_-5_30_0_9_0
state_2_-2_24_0_9_0,has_long,long_-22
state_4_-6_9_0_9_450,has_lat,lat_36
state_2_-8_7_0_9_0,transit_to,state_2_-8_6_0_9_325
state_3_-6_22_0_9_0,transit_to,state_3_-6_29_0_9_400
state_3_-6_13_0_9_0,has_lat,lat_31
state_3_-7_9_0_9_0,has_long,long_-69
state_3_-9_11_0_9_150,transit_to,state_3_-9_11_0_9_600
state_3_-6_11_0_9_250,has_lat,lat_26
state_2_-9_4_0_9_0,has_lat,lat_20
state_2_-7_13_0_9_300,has_long,long_-66
state_3_-7_14_0_9_175,transit_to,state_3_-7_13_0_9_400
state_2_-3_11_0_9_750,has_lat,lat_20
state_2_-4_31_0_9_0,has_long,long_-43
state_2_-3_22_0_9_300,has_lat,lat_17
state_3_-7_31_0_9_675,has_long,long_-66
state_3_-7_25_0_9_300,has_lat,lat_30
state_1_-6_13_0_9_425,has_long,long_-63
state_2_-5_26_0_9_1050,transit_to,state_2_-5_27_0_9_1050
state_2_-8_14_0_9_400,has_long,long_-83
state_2_-7_9_0_9_1050,has_long,long_-73
state_2_-5_36_0_9_250,has_long,long_-53
state_3_-7_15_0_9_0,transit_to,state_3_-7_16_0_9_0
state_1_-7_21_0_9_0,has_long,long_-67
state_4_-5_35_0_9_150,has_long,long_-53
state_2_-5_21_0_9_950,has_lat,lat_17
state_3_-10_23_0_9_4125,has_lat,lat_25
state_2_-8_6_0_9_1200,escalate_to,state_2_-8_7_0_9_975
state_1_-4_15_0_9_1350,has_long,long_-42
state_3_-4_23_0_9_0,has_lat,lat_26
state_3_-9_24_0_9_1050,has_long,long_-90
state_4_-6_30_0_9_1000,escalate_to,state_4_-6_31_0_9_825
state_4_-8_23_0_9_0,transit_to,state_4_-8_19_0_9_0
state_3_-9_7_0_9_0,has_long,long_-85
state_3_-4_13_0_9_2000,has_long,long_-41
state_2_-10_11_0_9_650,has_long,long_-96
state_3_-9_19_0_9_2100,transit_to,state_3_-9_18_0_9_1050
state_2_-6_33_0_9_900,transit_to,state_2_-6_31_0_9_0
state_3_-7_22_0_9_600,has_lat,lat_27
state_3_-9_6_0_9_0,transit_to,state_3_-9_7_0_9_0
state_1_-6_24_0_9_200,has_long,long_-56
state_2_-6_23_0_9_2100,escalate_to,state_2_-7_22_0_9_2300
state_3_-8_15_0_9_0,has_long,long_-75
state_2_-10_21_0_9_150,has_lat,lat_25
state_2_-5_21_0_9_150,transit_to,state_2_-5_23_0_9_0
state_3_-5_21_0_9_1000,has_long,long_-52
state_3_-6_16_0_9_0,transit_to,state_3_-5_14_0_9_0
state_3_-7_15_0_9_300,has_long,long_-68
state_2_-10_8_0_9_125,has_lat,lat_22
state_4_-5_31_0_9_0,has_lat,lat_36
state_2_-5_16_0_9_900,has_long,long_-46
state_3_-7_23_0_9_4550,escalate_to,state_3_-8_26_0_9_5075
state_3_-9_2_0_9_0,has_lat,lat_26
state_4_-7_13_0_9_700,has_long,long_-66
state_3_-5_13_0_9_0,has_long,long_-52
state_3_-7_2_0_9_125,has_long,long_-72
state_2_-6_7_0_9_825,has_lat,lat_23
state_2_-10_17_0_9_900,transit_to,state_3_-10_17_0_9_650
state_4_-6_47_0_9_325,transit_to,state_4_-6_59_0_9_700
state_1_-7_34_0_9_3300,escalate_to,state_2_-7_31_0_9_4375
state_1_-6_21_0_9_0,has_long,long_-59
state_3_-6_21_0_9_525,has_long,long_-56
state_3_-5_2_0_9_0,has_lat,lat_32
state_3_-9_25_0_9_0,has_lat,lat_32
state_3_-10_16_0_9_0,transit_to,state_3_-10_10_0_9_0
state_3_-9_22_0_9_0,has_lat,lat_28
state_1_-8_22_0_9_0,has_long,long_-85
state_2_-4_25_0_9_500,transit_to,state_2_-4_26_0_9_550
state_2_-6_14_0_9_150,has_long,long_-55
state_3_-4_26_0_9_450,has_lat,lat_29
state_4_-4_16_0_9_0,transit_to,state_4_-4_17_0_9_0
state_2_-8_7_0_9_500,transit_to,state_2_-9_7_0_9_0
state_2_-7_13_0_9_1600,transit_to,state_2_-8_6_0_9_0
state_1_-3_26_0_9_175,transit_to,state_1_-3_24_0_9_400
state_3_-7_12_0_9_675,has_lat,lat_34
state_3_-6_30_0_9_0,has_long,long_-65
state_1_-5_29_0_9_0,has_lat,lat_13
state_3_-4_28_0_9_275,has_lat,lat_30
state_1_-3_11_0_9_0,transit_to,state_2_-3_11_0_9_0
state_3_-9_17_0_9_200,transit_to,state_3_-9_20_0_9_450
state_2_-8_13_0_9_400,has_lat,lat_16
state_2_-5_32_0_9_0,has_long,long_-50
state_2_-3_22_0_9_150,has_long,long_-33
state_2_-5_16_0_9_0,transit_to,state_2_-5_12_0_9_300
state_1_-4_38_0_9_150,has_lat,lat_11
state_3_-7_28_0_9_825,has_lat,lat_25
state_3_-6_4_0_9_0,transit_to,state_3_-6_4_0_9_325
state_2_-9_24_0_9_500,has_long,long_-85
state_3_-10_15_0_9_700,has_long,long_-97
state_1_-7_33_0_9_150,has_long,long_-69
state_3_-9_13_0_9_450,has_long,long_-89
state_3_-9_13_0_9_0,has_lat,lat_29
state_3_-9_21_0_9_600,transit_to,state_3_-9_19_0_9_300
state_3_-9_17_0_9_0,has_lat,lat_28
state_2_-7_14_0_9_0,has_long,long_-65
state_2_-8_26_0_9_325,has_long,long_-79
state_4_-7_30_0_9_600,has_lat,lat_38
state_2_-6_16_0_9_0,has_long,long_-58
state_2_-2_6_0_9_0,has_long,long_-17
state_3_-3_16_0_9_0,transit_to,state_3_-4_17_0_9_0
state_2_-2_10_0_9_0,has_lat,lat_16
state_3_-9_32_0_9_0,transit_to,state_3_-9_31_0_9_0
state_1_-5_44_0_9_0,has_long,long_-51
state_2_-7_25_0_9_0,has_lat,lat_20
state_1_-2_21_0_9_150,has_long,long_-24
state_3_-9_8_0_9_150,has_long,long_-92
state_2_-8_24_0_9_0,has_lat,lat_22
state_2_-6_17_0_9_225,transit_to,state_2_-6_17_0_9_0
state_1_-4_16_0_9_1050,has_lat,lat_14
state_2_-3_12_0_9_0,has_long,long_-29
state_2_-6_14_0_9_225,has_long,long_-64
state_1_-7_18_0_9_0,has_lat,lat_13
state_2_-4_24_0_9_0,has_long,long_-38
state_5_-4_48_0_9_0,has_long,long_-36
state_2_-6_7_0_9_750,has_lat,lat_22
state_2_-4_27_0_9_325,transit_to,state_2_-5_24_0_9_325
state_2_-8_35_0_9_1000,escalate_to,state_2_-8_32_0_9_550
state_2_-5_29_0_9_350,has_long,long_-52
state_4_-7_26_0_9_225,has_long,long_-66
state_3_-4_15_0_9_0,has_lat,lat_27
state_3_-5_9_0_9_0,transit_to,state_3_-5_11_0_9_0
state_2_-5_28_0_9_2200,has_lat,lat_15
state_2_-6_16_0_9_275,transit_to,state_2_-6_16_0_9_275
state_2_-6_30_0_9_0,transit_to,state_2_-6_30_0_9_0
state_4_-8_34_0_9_0,transit_to,state_4_-7_36_0_9_0
state_3_-6_19_0_9_1200,transit_to,state_3_-6_18_0_9_800
state_3_-7_15_0_9_0,has_lat,lat_28
state_4_-6_49_0_9_325,has_lat,lat_42
state_2_-5_12_0_9_2625,has_long,long_-54
state_3_-4_26_0_9_0,has_long,long_-41
state_2_-6_12_0_9_750,has_lat,lat_25
state_3_-7_11_0_9_300,has_lat,lat_26
state_2_-6_14_0_9_1100,has_long,long_-65
state_3_-4_13_0_9_400,transit_to,state_3_-4_8_0_9_400
state_3_-5_17_0_9_175,has_long,long_-46
state_3_-9_6_0_9_0,has_lat,lat_30
state_3_-8_15_0_9_0,transit_to,state_3_-8_22_0_9_550
state_3_-8_22_0_9_1575,transit_to,state_3_-8_21_0_9_525
state_3_-8_16_0_9_75,transit_to,state_3_-8_17_0_9_450
state_2_-3_19_0_9_0,transit_to,state_2_-3_19_0_9_0
state_1_-8_3_0_9_0,transit_to,state_1_-8_3_0_9_0
state_1_-8_14_0_9_175,has_lat,lat_14
state_2_-9_15_0_9_175,has_lat,lat_24
state_2_-7_15_0_9_750,has_lat,lat_21
state_1_-3_31_0_9_0,transit_to,state_1_-3_32_0_9_0
state_4_-8_31_0_9_0,has_lat,lat_39
state_3_-5_16_0_9_250,transit_to,state_3_-5_16_0_9_550
state_2_-6_20_0_9_450,has_lat,lat_24
state_1_-8_14_0_9_800,transit_to,state_1_-8_13_0_9_1350
state_2_-9_19_0_9_1200,transit_to,state_2_-9_17_0_9_850
state_2_-7_5_0_9_900,has_lat,lat_24
state_3_-6_17_0_9_0,has_long,long_-62
state_4_-7_7_0_9_0,has_long,long_-68
state_3_-7_29_0_9_1275,transit_to,state_3_-7_29_0_9_900
state_3_-6_12_0_9_0,transit_to,state_3_-6_10_0_9_0
state_3_-8_5_0_9_0,has_long,long_-78
state_2_-4_22_0_9_200,has_long,long_-36
state_2_-6_25_0_9_0,has_long,long_-57
state_4_-5_57_0_9_0,has_lat,lat_45
state_2_-9_25_0_9_550,transit_to,state_2_-9_24_0_9_600
state_3_-6_14_0_9_0,has_lat,lat_28
state_2_-5_29_0_9_250,has_long,long_-52
state_3_-6_7_0_9_0,has_long,long_-61
state_3_-9_13_0_9_350,has_long,long_-94
state_1_-2_15_0_9_175,transit_to,state_1_-2_17_0_9_400
state_2_-9_15_0_9_0,has_lat,lat_17
state_3_-7_22_0_9_550,has_long,long_-66
state_3_-6_10_0_9_1500,has_long,long_-56
state_2_-7_21_0_9_750,transit_to,state_2_-7_17_0_9_800
state_1_-5_36_0_9_225,transit_to,state_1_-5_34_0_9_0
state_1_-4_16_0_9_1050,has_long,long_-39
state_3_-6_11_0_9_250,has_long,long_-59
state_3_-10_12_0_9_425,has_lat,lat_26
state_3_-4_4_0_9_0,has_lat,lat_28
state_1_-5_25_0_9_0,transit_to,state_1_-5_27_0_9_0
state_2_-5_15_0_9_0,has_long,long_-46
state_2_-8_10_0_9_175,transit_to,state_2_-8_9_0_9_675
state_4_-5_10_0_9_0,has_long,long_-54
state_3_-9_17_0_9_0,has_lat,lat_26
state_2_-6_18_0_9_0,has_lat,lat_20
state_3_-9_9_0_9_0,transit_to,state_3_-9_11_0_9_0
state_2_-5_15_0_9_0,has_lat,lat_23
state_1_-8_9_0_9_0,transit_to,state_1_-8_8_0_9_550
state_4_-5_16_0_9_0,has_long,long_-46
state_2_-7_15_0_9_0,has_lat,lat_21
state_2_-3_14_0_9_0,has_long,long_-28
state_4_-6_28_0_9_0,transit_to,state_4_-6_30_0_9_0
state_1_-3_33_0_9_0,transit_to,state_1_-3_34_0_9_175
state_3_-8_13_0_9_125,has_lat,lat_32
state_2_-5_17_0_9_1200,has_long,long_-52
state_1_-6_31_0_9_150,has_long,long_-59
state_2_-9_11_0_9_250,has_lat,lat_25
state_3_-4_55_0_9_300,has_long,long_-38
state_2_-7_14_0_9_225,transit_to,state_2_-7_15_0_9_225
state_2_-9_17_0_9_175,transit_to,state_2_-10_15_0_9_400
state_1_-6_35_0_9_450,has_lat,lat_14
state_3_-8_13_0_9_2000,has_long,long_-78
state_2_-4_19_0_9_750,has_long,long_-44
state_2_-3_26_0_9_200,has_long,long_-34
state_3_-9_24_0_9_1000,has_lat,lat_30
state_2_-5_21_0_9_2500,escalate_to,state_2_-5_20_0_9_3600
state_1_-6_42_0_9_400,has_lat,lat_12
state_3_-8_11_0_9_0,has_lat,lat_33
state_3_-4_20_0_9_0,transit_to,state_4_-4_23_0_9_350
state_4_-9_14_0_9_0,transit_to,state_4_-9_22_0_9_0
state_3_-3_15_0_9_900,has_long,long_-34
state_2_-5_5_0_9_0,transit_to,state_2_-5_6_0_9_0
state_2_-5_16_0_9_900,transit_to,state_2_-5_18_0_9_600
state_3_-10_33_0_9_550,has_long,long_-96
state_2_-10_11_0_9_675,has_long,long_-97
state_2_-9_16_0_9_2375,has_lat,lat_20
state_3_-8_8_0_9_600,has_long,long_-80
state_3_-5_18_0_9_400,transit_to,state_3_-5_18_0_9_900
state_1_-6_23_0_9_700,has_long,long_-60
state_3_-9_28_0_9_750,has_lat,lat_28
state_2_-6_27_0_9_0,has_lat,lat_22
state_2_-6_21_0_9_150,has_long,long_-58
state_2_-5_21_0_9_525,has_long,long_-47
state_2_-5_14_0_9_0,has_long,long_-50
state_1_-8_3_0_9_400,transit_to,state_1_-8_6_0_9_450
state_2_-3_26_0_9_200,has_lat,lat_19
state_2_-7_25_0_9_0,transit_to,state_2_-7_25_0_9_0
state_4_-6_12_0_9_1350,has_long,long_-64
state_3_-9_13_0_9_500,has_long,long_-92
state_3_-7_20_0_9_0,has_lat,lat_29
state_1_-4_24_0_9_1400,has_lat,lat_12
state_4_-6_50_0_9_250,transit_to,state_4_-5_57_0_9_0
state_2_-9_7_0_9_0,has_long,long_-87
state_2_-3_18_0_9_150,transit_to,state_2_-3_24_0_9_0
state_4_-6_67_0_9_0,has_long,long_-65
state_2_-6_13_0_9_475,has_long,long_-57
state_3_-7_28_0_9_600,has_lat,lat_31
state_3_-5_17_0_9_600,transit_to,state_3_-5_20_0_9_300
state_1_-6_31_0_9_400,has_lat,lat_12
state_2_-8_13_0_9_975,has_lat,lat_21
state_3_-4_35_0_9_450,transit_to,state_4_-4_35_0_9_900
state_2_-10_7_0_9_675,has_long,long_-96
state_3_-7_19_0_9_150,transit_to,state_3_-6_22_0_9_0
state_1_-3_26_0_9_150,has_long,long_-30
state_3_-7_24_0_9_0,transit_to,state_3_-7_23_0_9_275
state_1_-2_13_0_9_175,transit_to,state_1_-3_21_0_9_200
state_2_-5_15_0_9_0,has_long,long_-51
state_3_-10_21_0_9_500,has_long,long_-96
state_2_-10_16_0_9_1000,has_lat,lat_20
state_3_-7_12_0_9_0,has_lat,lat_32
state_3_-4_30_0_9_0,transit_to,state_3_-4_33_0_9_0
state_3_-8_3_0_9_175,has_long,long_-79
state_2_-8_8_0_9_0,transit_to,state_2_-8_11_0_9_0
state_2_-5_17_0_9_0,has_long,long_-50
state_2_-9_10_0_9_150,has_long,long_-93
state_4_-4_17_0_9_550,has_lat,lat_38
state_2_-7_14_0_9_0,transit_to,state_2_-7_15_0_9_0
state_1_-5_35_0_9_0,transit_to,state_1_-6_39_0_9_175
state_2_-8_10_0_9_500,has_lat,lat_23
long_-52,in_long_zone,long_-5
state_3_-8_32_0_9_0,transit_to,state_3_-8_30_0_9_0
state_4_-6_54_0_9_500,has_long,long_-58
state_2_-7_19_0_9_475,transit_to,state_2_-7_18_0_9_2100
state_2_-5_8_0_9_0,has_long,long_-49
state_3_-7_17_0_9_700,has_lat,lat_27
state_2_-7_24_0_9_0,has_long,long_-66
state_1_-7_21_0_9_0,has_lat,lat_12
state_3_-7_8_0_9_0,has_long,long_-72
state_1_-3_21_0_9_400,has_long,long_-29
state_3_-7_14_0_9_450,transit_to,state_3_-7_15_0_9_0
state_1_-4_18_0_9_175,has_long,long_-41
state_3_-6_5_0_9_750,has_lat,lat_29
state_2_-5_17_0_9_2625,transit_to,state_2_-5_16_0_9_525
state_4_-8_29_0_9_0,transit_to,state_4_-8_31_0_9_0
state_3_-7_21_0_9_1950,escalate_to,state_3_-7_23_0_9_650
state_3_-8_23_0_9_500,transit_to,state_3_-7_20_0_9_250
state_3_-9_7_0_9_175,has_lat,lat_27
state_3_-4_6_0_9_275,has_lat,lat_33
state_3_-7_55_0_9_2400,has_long,long_-72
state_4_-7_19_0_9_0,transit_to,state_4_-7_23_0_9_900
state_2_-7_33_0_9_0,has_long,long_-74
state_1_-3_34_0_9_175,has_lat,lat_13
state_3_-7_8_0_9_0,has_lat,lat_28
state_2_-7_21_0_9_675,has_lat,lat_18
state_1_-4_33_0_9_200,has_lat,lat_13
state_2_-5_23_0_9_175,has_lat,lat_17
lat_35,in_lat_zone,lat_3
state_2_-8_13_0_9_200,has_long,long_-81
state_2_-9_15_0_9_325,transit_to,state_2_-10_11_0_9_650
state_3_-8_28_0_9_3000,transit_to,state_3_-9_32_0_9_0
state_3_-6_18_0_9_800,has_lat,lat_29
state_2_-5_48_0_9_150,transit_to,state_2_-5_41_0_9_175
state_2_-9_16_0_9_200,has_lat,lat_24
state_1_-7_30_0_9_975,has_long,long_-68
state_1_-7_30_0_9_2125,has_lat,lat_13
state_2_-6_18_0_9_625,transit_to,state_2_-6_18_0_9_625
state_3_-8_15_0_9_300,has_lat,lat_28
state_3_-3_25_0_9_0,transit_to,state_3_-3_28_0_9_0
state_1_-8_6_0_9_750,has_long,long_-81
state_3_-4_22_0_9_0,has_long,long_-41
state_3_-5_9_0_9_0,has_long,long_-50
state_3_-5_7_0_9_0,transit_to,state_3_-5_9_0_9_700
state_1_-5_39_0_9_175,has_long,long_-49
state_2_-5_35_0_9_225,has_lat,lat_15
state_2_-5_33_0_9_0,has_lat,lat_18
state_3_-5_23_0_9_175,has_long,long_-50
state_2_-8_14_0_9_0,transit_to,state_2_-9_10_0_9_0
state_1_-5_16_0_9_175,transit_to,state_1_-5_14_0_9_0
state_3_-6_29_0_9_700,has_lat,lat_27
state_3_-8_27_0_9_350,transit_to,state_3_-8_31_0_9_350
state_2_-5_36_0_9_500,has_lat,lat_16
state_2_-6_29_0_9_175,has_long,long_-56
state_2_-9_25_0_9_0,transit_to,state_2_-9_23_0_9_0
state_4_-5_48_0_9_650,transit_to,state_4_-5_51_0_9_325
state_2_-10_12_0_9_750,has_long,long_-96
state_2_-4_18_0_9_750,has_long,long_-41
lat_43,in_lat_zone,lat_4
state_2_-6_10_0_9_175,transit_to,state_2_-6_8_0_9_400
state_2_-10_8_0_9_300,has_lat,lat_22
state_2_-10_15_0_9_0,has_long,long_-98
state_2_-9_18_0_9_325,escalate_to,state_2_-9_18_0_9_750
state_3_-7_21_0_9_400,has_long,long_-66
state_1_-8_7_0_9_175,has_lat,lat_15
state_1_-4_32_0_9_850,has_lat,lat_15
state_4_-7_13_0_9_600,has_lat,lat_37
state_2_-5_16_0_9_200,has_long,long_-50
state_3_-8_5_0_9_175,has_long,long_-75
state_2_-8_42_0_9_275,transit_to,state_2_-8_39_0_9_275
state_2_-8_16_0_9_0,transit_to,state_2_-8_16_0_9_150
state_2_-8_5_0_9_825,has_lat,lat_16
state_2_-9_17_0_9_400,has_long,long_-89
state_2_-10_21_0_9_3000,escalate_to,state_2_-10_24_0_9_3000
state_4_-5_48_0_9_0,has_lat,lat_43
state_4_-7_27_0_9_325,transit_to,state_4_-7_32_0_9_0
state_1_-6_24_0_9_0,has_long,long_-59
long_-36,in_long_zone,long_-4
state_2_-4_27_0_9_0,has_lat,lat_15
state_1_-3_20_0_9_175,has_lat,lat_13
state_4_-4_67_0_9_450,has_lat,lat_38
state_4_-3_42_0_9_375,has_lat,lat_38
state_3_-7_9_0_9_450,escalate_to,state_3_-7_12_0_9_825
state_2_-9_13_0_9_1875,has_long,long_-86
state_4_-6_46_0_9_975,has_lat,lat_40
state_2_-5_48_0_9_150,has_long,long_-48
state_1_-6_42_0_9_175,has_lat,lat_12
state_3_-7_12_0_9_0,has_long,long_-75
state_1_-6_22_0_9_825,has_lat,lat_14
state_2_-4_15_0_9_0,has_lat,lat_19
state_2_-4_30_0_9_0,has_lat,lat_22
state_4_-7_40_0_9_150,has_long,long_-71
state_3_-8_21_0_9_0,has_long,long_-77
state_3_-8_9_0_9_0,has_lat,lat_30
state_2_-9_20_0_9_125,has_lat,lat_20
state_3_-7_28_0_9_500,transit_to,state_3_-7_12_0_9_0
state_1_-6_11_0_9_0,transit_to,state_1_-6_12_0_9_0
state_4_-5_32_0_9_525,has_long,long_-50
state_1_-4_17_0_9_175,transit_to,state_1_-4_18_0_9_400
state_2_-9_11_0_9_0,transit_to,state_2_-10_9_0_9_0
state_1_-6_20_0_9_1600,transit_to,state_1_-6_15_0_9_1700
state_4_-6_26_0_9_0,has_long,long_-58
state_2_-8_17_0_9_525,has_long,long_-84
state_2_-4_25_0_9_450,has_long,long_-36
state_2_-3_26_0_9_850,transit_to,state_2_-4_27_0_9_900
state_3_-9_8_0_9_225,has_lat,lat_28
state_2_-5_19_0_9_1950,has_long,long_-49
state_1_-8_8_0_9_175,has_long,long_-78
state_2_-5_27_0_9_0,has_long,long_-45
state_2_-4_24_0_9_0,transit_to,state_2_-4_29_0_9_150
state_2_-6_22_0_9_0,transit_to,state_2_-6_22_0_9_0
state_3_-8_13_0_9_125,has_lat,lat_27
state_3_-9_23_0_9_225,transit_to,state_3_-9_21_0_9_250
state_2_-9_19_0_9_1750,has_long,long_-94
state_3_-8_23_0_9_450,has_lat,lat_30
state_2_-6_7_0_9_400,has_lat,lat_24
state_3_-6_8_0_9_0,has_long,long_-65
state_2_-7_22_0_9_1150,has_lat,lat_20
state_3_-8_13_0_9_225,has_long,long_-79
state_3_-4_15_0_9_0,transit_to,state_3_-4_20_0_9_0
state_2_-6_20_0_9_650,has_lat,lat_15
state_3_-7_4_0_9_150,has_long,long_-71
state_2_-4_26_0_9_0,transit_to,state_2_-4_33_0_9_275
state_3_-7_14_0_9_425,transit_to,state_3_-7_13_0_9_450
state_3_-10_17_0_9_225,has_lat,lat_27
state_2_-5_15_0_9_300,has_lat,lat_18
state_3_-6_4_0_9_0,transit_to,state_3_-6_9_0_9_0
state_1_-3_20_0_9_0,transit_to,state_1_-3_25_0_9_150
state_3_-6_28_0_9_400,has_long,long_-65
state_2_-5_17_0_9_0,transit_to,state_2_-5_19_0_9_0
state_2_-9_20_0_9_150,has_lat,lat_20
state_3_-8_12_0_9_400,transit_to,state_3_-8_10_0_9_450
state_2_-4_25_0_9_0,transit_to,state_2_-4_26_0_9_0
state_3_-8_12_0_9_0,has_long,long_-76
state_3_-7_3_0_9_350,has_long,long_-72
state_3_-9_13_0_9_975,transit_to,state_3_-9_14_0_9_1050
state_2_-6_32_0_9_0,transit_to,state_2_-5_50_0_9_0
state_3_-9_14_0_9_825,has_long,long_-89
state_1_-3_30_0_9_550,has_long,long_-33
state_2_-7_14_0_9_0,has_lat,lat_21
state_2_-9_4_0_9_3500,has_lat,lat_18
state_2_-8_26_0_9_1950,has_lat,lat_17
state_3_-5_22_0_9_175,transit_to,state_3_-5_22_0_9_400
state_4_-7_39_0_9_0,transit_to,state_4_-7_36_0_9_0
state_2_-5_32_0_9_650,has_long,long_-45
state_3_-6_34_0_9_400,transit_to,state_3_-6_34_0_9_0
state_3_-7_6_0_9_700,has_lat,lat_30
state_2_-5_4_0_9_0,transit_to,state_2_-5_5_0_9_0
state_2_-4_23_0_9_0,transit_to,state_2_-4_30_0_9_0
state_2_-10_5_0_9_150,has_lat,lat_23
state_1_-3_30_0_9_0,has_lat,lat_10
state_1_-3_27_0_9_0,has_long,long_-27
state_4_-6_20_0_9_375,has_lat,lat_39
state_2_-2_10_0_9_250,has_long,long_-25
state_3_-6_19_0_9_0,has_long,long_-57
state_2_-5_30_0_9_0,transit_to,state_2_-5_29_0_9_0
state_2_-8_23_0_9_1350,transit_to,state_2_-8_23_0_9_1350
state_3_-6_14_0_9_0,has_long,long_-63
state_3_-2_8_0_9_975,has_long,long_-18
state_3_-6_19_0_9_2625,has_long,long_-59
state_2_-8_10_0_9_750,has_lat,lat_17
state_2_-4_40_0_9_1200,has_lat,lat_17
state_3_-8_29_0_9_150,has_lat,lat_28
state_3_-9_9_0_9_150,transit_to,state_3_-9_9_0_9_0
state_3_-8_21_0_9_850,has_lat,lat_31
state_1_-4_10_0_9_0,has_lat,lat_13
state_2_-8_13_0_9_325,transit_to,state_3_-8_14_0_9_325
state_1_-5_22_0_9_150,has_lat,lat_15
state_2_-6_22_0_9_0,has_long,long_-56
state_2_-7_30_0_9_650,transit_to,state_2_-8_31_0_9_1500
state_2_-4_6_0_9_275,has_lat,lat_24
state_3_-8_13_0_9_650,has_lat,lat_31
state_3_-8_7_0_9_0,has_long,long_-83
state_4_-3_6_0_9_1350,has_lat,lat_36
state_2_-6_14_0_9_300,has_long,long_-64
state_3_-8_15_0_9_0,has_long,long_-82
state_2_-8_6_0_9_1800,has_lat,lat_19
state_3_-7_4_0_9_375,has_long,long_-67
state_2_-8_20_0_9_525,transit_to,state_3_-8_32_0_9_0
state_2_-3_14_0_9_150,has_long,long_-30
state_2_-5_15_0_9_175,has_long,long_-48
state_2_-5_16_0_9_0,has_lat,lat_24
state_2_-5_28_0_9_900,has_lat,lat_16
state_4_-4_21_0_9_450,has_lat,lat_36
state_4_-7_8_0_9_0,has_lat,lat_36
state_3_-7_3_0_9_0,has_lat,lat_34
state_2_-5_23_0_9_0,transit_to,state_2_-5_21_0_9_0
state_1_-8_15_0_9_0,transit_to,state_2_-8_16_0_9_0
state_2_-9_4_0_9_200,has_long,long_-85
state_2_-6_18_0_9_175,has_lat,lat_16
state_4_-4_34_0_9_0,has_lat,lat_40
state_4_-5_57_0_9_0,has_lat,lat_42
state_4_-6_24_0_9_350,has_lat,lat_36
state_1_-6_33_0_9_500,has_long,long_-65
state_3_-7_6_0_9_275,transit_to,state_3_-7_10_0_9_0
state_4_-6_60_0_9_0,has_long,long_-62
state_1_-4_35_0_9_125,has_lat,lat_11
state_2_-7_13_0_9_1425,transit_to,state_2_-7_15_0_9_2625
state_3_-7_14_0_9_325,has_long,long_-70
state_2_-11_15_0_9_0,transit_to,state_2_-11_14_0_9_0
state_3_-9_25_0_9_725,has_long,long_-90
state_3_-5_29_0_9_900,has_long,long_-49
state_2_-4_8_0_9_0,has_long,long_-42
state_3_-8_7_0_9_450,has_long,long_-84
state_2_-8_11_0_9_675,has_long,long_-84
state_2_-4_25_0_9_2375,has_long,long_-42
state_2_-5_28_0_9_0,transit_to,state_2_-5_33_0_9_0
state_2_-6_24_0_9_0,has_long,long_-58
state_2_-2_15_0_9_0,transit_to,state_2_-2_13_0_9_0
state_2_-5_24_0_9_350,has_long,long_-50
state_3_-8_6_0_9_675,has_lat,lat_32
state_3_-5_28_0_9_500,transit_to,state_3_-5_27_0_9_0
state_3_-6_5_0_9_0,has_lat,lat_28
state_4_-6_19_0_9_0,transit_to,state_4_-6_16_0_9_0
state_4_-7_29_0_9_0,transit_to,state_4_-6_42_0_9_0
state_2_-2_13_0_9_150,transit_to,state_2_-2_16_0_9_0
state_2_-3_26_0_9_450,has_lat,lat_16
state_2_-8_6_0_9_125,transit_to,state_2_-8_7_0_9_300
state_2_-7_19_0_9_0,has_lat,lat_19
